,Name,Type,Rating,Delivery Time,Price
550,The Belgian Waffle Co.,"Waffle, Desserts, Ice Cream, Beverages",4.2,23 MINS,200 FOR TWO
551,Good Food Roll House,"North Indian, Chinese",4.1,19 MINS,350 FOR TWO
552,Maha Khavaiyye (Wakad),Maharashtrian,4.0,27 MINS,250 FOR TWO
553,McDonald's,"Burgers, Beverages, Cafe, Desserts",4.3,21 MINS,400 FOR TWO
554,Mannat Biryani House,"North Indian, Biryani, Tandoor, Kebabs",3.6,16 MINS,250 FOR TWO
555,Food Bengal,"Bengali, Chinese",3.9,32 MINS,300 FOR TWO
556,Bebe Di Rasoi - Punjabi,"North Indian, Punjabi, Biryani, Kebabs, Mughlai, Desserts, Beverages",4.0,27 MINS,300 FOR TWO
557,ATITHI VEG,"Indian, Chinese, Tandoor",4.1,23 MINS,500 FOR TWO
558,Annapurna Pure Veg,"North Indian, Chinese, Tandoor",4.0,15 MINS,350 FOR TWO
559,Meals 911,Thalis,4.0,27 MINS,199 FOR TWO
560,Hotel Garwa Satyampuram (Veg & NonVeg),"Biryani, Chinese, Maharashtrian, North Indian, Indian",4.0,26 MINS,300 FOR TWO
561,Behrouz Biryani,"Biryani, Mughlai, Lucknowi, Hyderabadi, Kebabs, North Indian, Persian, Desserts",4.1,22 MINS,500 FOR TWO
562,Mad Momos,"Chinese, Tibetan, Nepalese, Pizzas, Snacks, Beverages",4.0,27 MINS,200 FOR TWO
563,Saras Snacks,"North Indian, Street Food, Beverages",4.2,23 MINS,300 FOR TWO
564,KFC,"Burgers, Biryani, American, Snacks, Fast Food",3.7,25 MINS,400 FOR TWO
565,PK Biryani House,"Biryani, North Indian, Thalis",3.9,25 MINS,350 FOR TWO
566,Jay Malhar Bhojanalay,"North Indian, Maharashtrian, Chinese, Biryani",4.0,20 MINS,400 FOR TWO
567,WarmOven Cake & Desserts,"Bakery, Desserts, Ice Cream, Beverages",4.4,19 MINS,200 FOR TWO
568,Sidheshwar Foods,"North Indian, Chinese",3.9,20 MINS,900 FOR TWO
569,Burger King,"Burgers, American",4.2,29 MINS,350 FOR TWO
570,Chotu's - taste of punjab,"Punjabi, North Indian, Chinese, Biryani, Tandoor, Thalis, Indian, Kebabs, Bevera...",3.7,27 MINS,300 FOR TWO
571,Faasos - Wraps & Rolls,"Fast Food, North Indian, Street Food, Desserts",4.0,23 MINS,200 FOR TWO
572,Bebe Di Rasoi - Punjabi,"North Indian, Punjabi, Biryani, Kebabs, Mughlai, Desserts, Beverages",4.0,34 MINS,300 FOR TWO
573,Hotel Garwa Satyampuram (Veg & NonVeg),"Biryani, Chinese, Maharashtrian, North Indian, Indian",4.0,32 MINS,300 FOR TWO
574,PK Biryani House,"Biryani, North Indian, Thalis",3.9,31 MINS,350 FOR TWO
575,Chotu's - taste of punjab,"Punjabi, North Indian, Chinese, Biryani, Tandoor, Thalis, Indian, Kebabs, Bevera...",3.7,32 MINS,300 FOR TWO
