,Name,Type,Rating,Delivery Time,Price
5300,Brew Culture,Beverages,--,19 MINS,250 FOR TWO
5301,MITHAI WORLD,Indian,4.2,19 MINS,350 FOR TWO
5302,Batman Delivers,"North Indian, Chinese",--,30 MINS,300 FOR TWO
5303,Rolls Mania,Fast Food,4.6,32 MINS,200 FOR TWO
5304,PUNE ADDA,"North Indian, Chinese, Biryani, Desserts, Punjabi, Mangalorean, Seafood, Mughlai...",4.4,28 MINS,200 FOR TWO
5305,Smokin' Joe's,"Pizzas, Italian",3.8,37 MINS,400 FOR TWO
5306,DevUncle Kitchen,"North Indian, Chinese, Beverages",3.9,23 MINS,600 FOR TWO
5307,McDonald's Gourmet Burger Collection,"Burgers, Beverages, Cafe, Desserts",4.4,20 MINS,600 FOR TWO
5308,The Good Bowl,"North Indian, Punjabi, Biryani, Chinese, Beverages, Desserts, Jain, Indian, Hyde...",4.2,23 MINS,400 FOR TWO
5309,Yummy Dosa,"South Indian, Chinese, Snacks",--,27 MINS,250 FOR TWO
5310,Jai Ganesh Chaat,Chaat,4.0,24 MINS,100 FOR TWO
5311,Mahabaleshwar Berry Bash,"Ice Cream, Beverages, Juices, Snacks",3.7,26 MINS,200 FOR TWO
5312,Shreeji Ice Cream,Ice Cream,--,20 MINS,150 FOR TWO
5313,Italian Aroma,"Italian, Continental",--,24 MINS,300 FOR TWO
5314,Cafe Coffee Day,"Beverages, Snacks, Desserts",3.3,23 MINS,300 FOR TWO
5315,NEW SARASWATI BAKERY,Bakery,--,27 MINS,250 FOR TWO
5316,Pizza Hot,"Pizzas, Burgers, Pastas, Italian, Street Food",--,30 MINS,200 FOR TWO
5317,Ronak Fast Food,"Chinese, Snacks",--,30 MINS,300 FOR TWO
5318,Cafe Zam Zam,"Mughlai, North Indian, Chinese, Fast Food, Biryani",4.2,34 MINS,300 FOR TWO
5319,Samys Hangout,Fast Food,--,28 MINS,200 FOR TWO
5320,Thakkar Dining Hall,North Indian,4.3,21 MINS,300 FOR TWO
5321,Pokket Cafe,Fast Food,3.9,28 MINS,200 FOR TWO
5322,AB's - Absolute Barbecues,"North Indian, Chinese, Biryani, Mughlai, Grill, Seafood, Barbecue, Kebabs, Pan-A...",3.4,24 MINS,400 FOR TWO
5323,Baskin Robbins,"Ice Cream, Desserts",4.5,21 MINS,200 FOR TWO
5324,Shawarma Spot,Lebanese,3.7,25 MINS,200 FOR TWO
5325,Annapoorna,"Chinese, South Indian, North Indian, Continental, Desserts, Italian, Beverages",4.3,27 MINS,400 FOR TWO
5326,Faasos - Wraps & Rolls,"Fast Food, North Indian, Street Food, Desserts",4.1,27 MINS,200 FOR TWO
5327,OM Shiva Swadisht Bhel,Snacks,4.2,20 MINS,100 FOR TWO
5328,DEVASA VEG NON VEG,"Indian, South Indian, Beverages",--,23 MINS,300 FOR TWO
5329,WORLD	OF	PURE	VEG,"Chinese, North Indian",3.9,28 MINS,250 FOR TWO
5330,THE CHINESE HOUSE,Chinese,--,27 MINS,150 FOR TWO
5331,Chinese Food And Cafe By Negi's Noodle,Chinese,--,32 MINS,200 FOR TWO
5332,Navmi Veg-Nonveg,"North Indian, Chinese",4.2,28 MINS,450 FOR TWO
5333,Gourmet Ice Cream Cakes by Baskin Robbins,"Ice Cream Cakes, Desserts, Ice Cream, Bakery",--,22 MINS,250 FOR TWO
5334,MOMO and Co.,"Chinese, Fast Food",--,40 MINS,200 FOR TWO
5335,NAWABI ZAIKA,"North Indian, Biryani, Chinese, Mughlai, Punjabi, Kebabs, Beverages, Tandoor",2.7,45 MINS,300 FOR TWO
5336,Shree Baba Ramdev Thal,"North Indian, Rajasthani",4.1,44 MINS,400 FOR TWO
5337,Sugaran Homely Food,"Indian, Home Food",4.3,46 MINS,300 FOR TWO
5338,Ashoka Chinese & Fast Food,Chinese,3.6,40 MINS,300 FOR TWO
5339,Hotel sai palace family restaurant,"North Indian, Chinese, Seafood",4.4,41 MINS,300 FOR TWO
5340,Baker's Basket,"Bakery, Desserts",--,38 MINS,400 FOR TWO
5341,HOTEL MARATHA DARBAR,"North Indian, Biryani",--,43 MINS,280 FOR TWO
5342,Sharma Icecream and Pavbhaji - Shahu Nagar,"Ice Cream, Street Food",3.6,41 MINS,200 FOR TWO
5343,Golden Palms,"Biryani, Chinese, Indian, Seafood",3.8,46 MINS,300 FOR TWO
5344,Mr & Mrs Idly,South Indian,4.2,40 MINS,200 FOR TWO
5345,HOTEL MUMTAJ,"Arabian, North Indian, Biryani, Chinese",--,46 MINS,400 FOR TWO
5346,Hotel Friends,"Chinese, Fast Food",4.2,40 MINS,400 FOR TWO
5347,TEN 11 RESTO,"Beverages, Mughlai",--,39 MINS,400 FOR TWO
5348,Hotel Al Madeena,"Arabian, North Indian, Biryani, Chinese",--,44 MINS,400 FOR TWO
5349,Golden Restaurant Rivar Moshi,"North Indian, Biryani",--,45 MINS,200 FOR TWO
5350,Master Chef,"North Indian, Chinese, Biryani",--,40 MINS,200 FOR TWO
5351,MADHUR PURE VEG,"Chinese, South Indian, Indian, Beverages, Ice Cream",--,32 MINS,300 FOR TWO
5352,Ishan Pure Veg,"North Indian, Chinese, South Indian, Beverages",4.5,28 MINS,400 FOR TWO
5353,Fountain Family Rest O Bar,"North Indian, Chinese",4.4,30 MINS,500 FOR TWO
5354,Cafe Crush,"Beverages, Snacks",--,25 MINS,200 FOR TWO
5355,AVIS LUNCH HOME,"North Indian, Biryani",--,39 MINS,500 FOR TWO
5356,HOTEL PETH PUJARI,"North Indian, Chinese, South Indian, Maharashtrian",--,27 MINS,400 FOR TWO
5357,Solapuri Foods	,"Indian, Snacks",--,30 MINS,150 FOR TWO
5358,Shiv Sagar,"North Indian, South Indian, Chinese, Fast Food",4.3,25 MINS,300 FOR TWO
5359,GANESH BHEL-Swargate,"Chaat, Fast Food",4.4,24 MINS,200 FOR TWO
5360,aware Maratha khanawal,Maharashtrian,4.3,22 MINS,500 FOR TWO
5361,Samudra Veg,"North Indian, Chinese, South Indian",4.4,28 MINS,450 FOR TWO
5362,Domino's Pizza,Pizzas,4.1,30 MINS,400 FOR TWO
5363,Hotel Dawath	,"Indian, Chinese, Beverages",--,24 MINS,200 FOR TWO
5364,Marrakesh,"Lebanese, North Indian, Afghani, Mughlai, Biryani, Kebabs, Mediterranean, Arabia...",4.1,24 MINS,350 FOR TWO
5365,Sri Murlidhar Veg Thali,"Maharashtrian, Gujarati, Rajasthani",4.4,21 MINS,200 FOR TWO
5366,Grameen Kulfi,"Ice Cream, Desserts",4.8,21 MINS,120 FOR TWO
5367,Cake Plaza,"Pizzas, Snacks, Bakery, Desserts",3.6,59 MINS,110 FOR TWO
5368,Lassi N Shakes,"Beverages, Ice Cream, American, Continental, Pizzas",3.0,73 MINS,120 FOR TWO
5369,Hyderabad Spice,"Hyderabadi, Chinese, Biryani, Snacks",3.7,74 MINS,350 FOR TWO
5370,Pizza Hut,Pizzas,3.7,89 MINS,350 FOR TWO
5371,Baskin Robbins,"Desserts, Ice Cream",4.0,79 MINS,250 FOR TWO
5372,Zafraan Biryani Hotel,"Biryani, Indian, Arabian",3.5,63 MINS,180 FOR TWO
5373,Any time cake bakery,Bakery,--,70 MINS,1000 FOR TWO
5374,SURESH TIFFINS,South Indian,4.2,64 MINS,100 FOR TWO
5375,A1 Cake Shoppe,Bakery,3.6,69 MINS,150 FOR TWO
5376,Sri Balaji Sweets & Chats,"Desserts, Sweets",3.4,63 MINS,150 FOR TWO
5377,L Mantra Ice Creams,Desserts,4.1,81 MINS,200 FOR TWO
5378,Ivaans Corner,"Bakery, Home Food, Beverages",3.5,86 MINS,120 FOR TWO
5379,BISTA S FOOD COURT,Chinese,3.5,80 MINS,200 FOR TWO
5380,Mezbaan Arabian Mandi,"Chinese, Desserts",--,75 MINS,450 FOR TWO
5381,Red Bucket Biryani,"Indian, Biryani",3.8,73 MINS,300 FOR TWO
5382,Surabhi Grand,"Indian, Biryani, Beverages",3.9,74 MINS,150 FOR TWO
5383,UNIQUE DISH,"Chinese, North Indian, Biryani, Snacks, Thalis",--,38 MINS,550 FOR TWO
5384,Thali Central,"Thalis, Fast Food, North Indian, Healthy Food, Biryani, Desserts, Beverages",3.5,37 MINS,200 FOR TWO
5385,Southin Cafe,"Indian, Chinese",4.1,39 MINS,200 FOR TWO
5386,Hotel Sarvoday,"North Indian, South Indian, Chinese",4.1,35 MINS,350 FOR TWO
5387,The Belgian Waffle Co.,"Waffle, Desserts, Ice Cream",4.6,39 MINS,200 FOR TWO
5388,Hungry Monkey,Snacks,--,39 MINS,200 FOR TWO
5389,Hotel Samruddhi,Maharashtrian,4.0,32 MINS,500 FOR TWO
5390,Red Chillies Chinese Fast Food,Chinese,3.3,27 MINS,150 FOR TWO
5391,Apna Kitchen,"Indian, Chaat, Snacks",--,29 MINS,250 FOR TWO
5392,New Punjabi Dhaba,Indian,3.9,34 MINS,300 FOR TWO
5393,The Tasty Tiffin,"North Indian, Chinese",3.9,30 MINS,200 FOR TWO
5394,Burger point,Fast Food,4.4,29 MINS,150 FOR TWO
5395,Home Plate by EatFit,"Home Food, North Indian, Healthy Food, Thalis, Desserts, Indian, Punjabi",4.1,23 MINS,160 FOR TWO
5396,Green 9 Restaurant,"Continental, Italian, North Indian, Chinese, Indian",4.1,25 MINS,400 FOR TWO
5397,The Bombay House,"North Indian, Fast Food, Biryani, Chinese, Desserts",--,39 MINS,300 FOR TWO
5398,Khatri Bandhu Pot Ice Cream and Mastani,"Indian, Desserts",3.4,37 MINS,300 FOR TWO
5399,The Brooklyn Creamery - Healthy Ice Cream,"Desserts, Ice Cream, Healthy Food",--,28 MINS,200 FOR TWO
5400,Mad Over Donuts,Desserts,3.6,23 MINS,200 FOR TWO
5401,RELAX PURE VEG,"North Indian, Fast Food, Juices, Beverages",4.3,29 MINS,500 FOR TWO
5402,Amritsari Dhaba,"North Indian, Chinese, Fast Food, Street Food, Beverages",3.8,25 MINS,300 FOR TWO
5403,Naadbramha DO. SA .ID .LI,South Indian,3.5,24 MINS,300 FOR TWO
5404,CHINESE KATTA,"North Indian, Chinese",--,28 MINS,150 FOR TWO
5405,Mealful Rolls - India's Biggest Rolls,"Fast Food, Snacks, North Indian, Desserts",--,32 MINS,250 FOR TWO
5406,NAWABI ZAIKA,North Indian,3.4,27 MINS,300 FOR TWO
5407,Seven Carnival Momos,Chinese,--,30 MINS,300 FOR TWO
5408,Veg Daawat by Behrouz,"Biryani, Mughlai, Lucknowi, Kebabs, Hyderabadi, North Indian, Persian, Desserts",--,33 MINS,500 FOR TWO
5409,Pure Veg Meals by Lunchbox,"North Indian, Desserts, Biryani",3.3,28 MINS,200 FOR TWO
5410,Queen's Restaurant,North Indian,--,27 MINS,300 FOR TWO
5411,S.R Chinese,Chinese,--,30 MINS,250 FOR TWO
5412,CSK( Chicken Shwarma King),"Arabian, Grill, Tandoor, Indian",3.5,24 MINS,300 FOR TWO
5413,SLAY Coffee,"Beverages, Desserts",4.3,24 MINS,200 FOR TWO
5414,Pokket Pizza,"Pizzas, Burgers",3.3,35 MINS,250 FOR TWO
5415,Baskin Robbins,"Desserts, Ice Cream",4.2,20 MINS,250 FOR TWO
5416,Cookie Man,"Bakery, Snacks",--,26 MINS,250 FOR TWO
5417,Dragon Indian and Chinese,"Chinese, Continental, Fast Food, Snacks",3.5,22 MINS,300 FOR TWO
5418,Kaka Halwai Sweets and Namkeen,"Sweets, Snacks",4.3,22 MINS,350 FOR TWO
5419,Cream Stone Ice Cream,"Ice Cream, Desserts, Beverages",4.4,20 MINS,200 FOR TWO
5420,"Frozen Bottle - Milkshakes, Desserts And Ice Cream","Beverages, Desserts, Ice Cream, Waffle, Bakery, Healthy Food",4.5,21 MINS,250 FOR TWO
5421,Wings and Company,"Fast Food, American",4.3,40 MINS,500 FOR TWO
5422,Mansam,"South Indian, Snacks, Biryani",--,26 MINS,700 FOR TWO
5423,Hotel G Space,Chinese,--,26 MINS,400 FOR TWO
5424,Taaareef,"Mughlai, North Indian, Seafood, Biryani",4.3,36 MINS,1100 FOR TWO
5425,NJOY:CHINESE GRILL SHAWARMA,Chinese,--,29 MINS,300 FOR TWO
5426,McDonald's Gourmet Burger Collection,"Burgers, Beverages, Cafe, Desserts",3.7,21 MINS,600 FOR TWO
5427,Mithas,"Sweets, Desserts, Snacks",4.5,19 MINS,450 FOR TWO
5428,Oven Story Pizza,"Pizzas, Italian",4.1,27 MINS,400 FOR TWO
5429,The Momo Panda,Tibetan,4.4,28 MINS,250 FOR TWO
5430,Nomad - Vegetarian and Plant based Pizza Series,"Beverages, Continental, Desserts, Fast Food, Italian, Nepalese, Pizzas, Street F...",5.0,33 MINS,1200 FOR TWO
5431,Baskin Robbins Happyness Shakes,"Beverages, Desserts",--,29 MINS,200 FOR TWO
5432,MOMOS JUNCTION,Chinese,--,33 MINS,150 FOR TWO
5433,FoodGinie Express,"Biryani, Desserts, North Indian, Salads, Lebanese",4.1,32 MINS,250 FOR TWO
5434,Pokket Cafe,"Fast Food, Italian, Beverages",4.2,36 MINS,200 FOR TWO
5435,Shahi Angare,"North Indian, Chinese, Biryani, Tandoor, Kebabs",3.5,28 MINS,450 FOR TWO
5436,DURGA VEG RESTAURANT,"Indian, Chinese",--,33 MINS,400 FOR TWO
5437,DESI INDORI DHABA,"Indian, Thalis, North Indian, Beverages",3.9,37 MINS,250 FOR TWO
5438,Cake Queen	,"Bakery, Desserts",--,31 MINS,250 FOR TWO
5439,Cafe Coffee Hutt,North Indian,4.3,31 MINS,250 FOR TWO
5440,Mithai Culture	,Sweets,--,28 MINS,500 FOR TWO
5441,Dhangar Wada - Mutton Bhakari,North Indian,1.8,35 MINS,300 FOR TWO
5442,Bombay Culture The Cafe,"Fast Food, Beverages, Street Food, Pizzas",--,39 MINS,300 FOR TWO
5443,Chinese Express Combos,Chinese,--,36 MINS,200 FOR TWO
5444,Kavi Misal,Beverages,3.7,16 MINS,200 FOR TWO
5445,Infinity Cafe Punawale,Juices,3.8,32 MINS,400 FOR TWO
5446,Hotel Vijay,South Indian,4.4,34 MINS,200 FOR TWO
5447,Jija Pure Veg,Indian,4.2,31 MINS,150 FOR TWO
5448,La Cheezy,"Pizzas, Fast Food, Snacks",--,34 MINS,350 FOR TWO
5449,EatFit,"Healthy Food, Pizzas, North Indian, Thalis, Biryani, Chinese",4.2,22 MINS,270 FOR TWO
5450,Gavkari,Maharashtrian,3.5,33 MINS,400 FOR TWO
5451,Hotel Lalit Mahal,"Chinese, Fast Food, Maharashtrian, Indian",--,26 MINS,400 FOR TWO
5452,UBQ by Barbeque Nation,"North Indian, Barbecue, Biryani, Kebabs, Mughlai, Desserts",3.9,29 MINS,300 FOR TWO
5453,Havmor Havfunn Ice cream,"Ice Cream, Ice Cream Cakes, Desserts, Beverages",--,22 MINS,200 FOR TWO
5454,Kondhalkar Mastani House,"Beverages, Ice Cream",4.2,23 MINS,200 FOR TWO
5455, Poona Guest House,Indian,--,27 MINS,250 FOR TWO
5456,Khandesh Junction,"Maharashtrian, Punjabi, Beverages",4.2,24 MINS,200 FOR TWO
5457,Sudam A1 sandwich,Snacks,--,19 MINS,100 FOR TWO
5458,Tuljai veg nonveg,"Biryani, Indian",--,29 MINS,300 FOR TWO
5459,Hotel Mughal Darbar	,"Mughlai, North Indian, Snacks, Chinese, Thalis",3.6,27 MINS,200 FOR TWO
5460,Home Plate by EatFit,"North Indian, Home Food, Healthy Food, Indian, Punjabi, South Indian, Rajasthani...",3.8,21 MINS,160 FOR TWO
5461,Hotel Malabar	,"Indian, Chinese, Snacks",2.6,30 MINS,200 FOR TWO
5462,Darshan,"Italian, Chinese, Continental, Desserts, Chaat, Indian, North Indian, Juices, Me...",4.5,25 MINS,550 FOR TWO
5463,DELHI SOYA CHAAP,"North Indian, Snacks",--,36 MINS,300 FOR TWO
5464,Jashn E Punjab,North Indian,3.8,46 MINS,200 FOR TWO
5465,Swaad E Hyderabad,North Indian,--,42 MINS,200 FOR TWO
5466,Keshavkunj Pure Veg,"North Indian, Chinese",3.4,50 MINS,200 FOR TWO
5467,Pal Dhaba,"Indian, Chaat, Sweets",--,42 MINS,150 FOR TWO
5468,Tandoor House Restaurant,"Chinese, Fast Food, Biryani, Beverages, Desserts",--,42 MINS,300 FOR TWO
5469,Soy de Asian,Chinese,--,42 MINS,200 FOR TWO
5470,PI Frankie Station,Indian,--,42 MINS,200 FOR TWO
5471,Chow Mein & Co.,"Asian, Chinese, Oriental",--,44 MINS,200 FOR TWO
5472,My Idli Express,South Indian,--,42 MINS,150 FOR TWO
5473,Dilbaro -Pure Veg,"North Indian, Chinese, Biryani, Hyderabadi, Punjabi",3.9,42 MINS,200 FOR TWO
5474,The Paratha Singh,"North Indian, Punjabi",3.9,43 MINS,200 FOR TWO
5475,Namaste Khichdi,"Healthy Food, Home Food, Indian, North Indian",4.4,39 MINS,200 FOR TWO
5476,Southie Sambar,South Indian,2.9,39 MINS,200 FOR TWO
5477,Bruce - Burgers & Rolls,"American, Snacks",--,42 MINS,300 FOR TWO
5478,The Momo Company,Chinese,4.3,41 MINS,300 FOR TWO
5479,Cake Story Desserts,Bakery,--,-- MINS,400 FOR TWO
5480,Kedar Pure Veg Restaurent,"Indian, Snacks, South Indian, Thalis",--,-- MINS,200 FOR TWO
5481,The Coffee Cafe,"Ice Cream, Fast Food, Snacks",--,-- MINS,200 FOR TWO
5482,HARRY'S CHASKE PUNJAB DE,"Punjabi, North Indian",--,-- MINS,550 FOR TWO
5483,Meridian Ice Cream,Desserts,--,-- MINS,150 FOR TWO
5484,Snack Shack,"Snacks, North Indian",--,-- MINS,200 FOR TWO
5485,GiriSons XPRS,"Snacks, Street Food, South Indian, Beverages, Maharashtrian, North Indian, Fast ...",--,-- MINS,100 FOR TWO
5486,Amul Crazy Cool Cafe,"Beverages, Juices",--,39 MINS,200 FOR TWO
5487,OM SAI CHINESE,"Chinese, Indian",3.3,36 MINS,300 FOR TWO
5488,HOTEL DAJIBA MUTTON KHANAWA,"Indian, Maharashtrian",3.4,34 MINS,300 FOR TWO
5489,Indrayani Biryani Centre,"Continental, North Indian, Mughlai, Fast Food, Chinese, Beverages",--,35 MINS,500 FOR TWO
5490,Guru Chinese ,Chinese,--,43 MINS,200 FOR TWO
5491,PARTH FOODS,"Chinese, Snacks, Indian",--,43 MINS,400 FOR TWO
5492,Farmers Kitchen,"North Indian, Chinese",4.3,40 MINS,500 FOR TWO
5493,Era's Biryani House,"Biryani, North Indian, Thalis",--,39 MINS,300 FOR TWO
5494,Hilton Cafe,"Biryani, North Indian, Thalis",--,39 MINS,300 FOR TWO
5495,Uncle Cafe,"Biryani, North Indian, Thalis",--,39 MINS,300 FOR TWO
5496,Green Mandarin,Chinese,--,35 MINS,300 FOR TWO
5497,Cafe Roll Castle,Snacks,--,37 MINS,250 FOR TWO
5498,KNS,"Italian, Pizzas",4.0,43 MINS,300 FOR TWO
5499,KNS Xprs,"North Indian, Chinese, Indian, Biryani",3.8,33 MINS,400 FOR TWO
5500,Sunand Hotel	,"Indian, Fast Food, Chinese, Tandoor, Biryani",--,40 MINS,300 FOR TWO
5501,MH 12 Pav Bhaji,North Indian,3.8,36 MINS,300 FOR TWO
5502,Theobroma,"Bakery, Desserts",4.6,25 MINS,500 FOR TWO
5503,SNACK SHACK SANDWICH,"Fast Food, Snacks",--,25 MINS,200 FOR TWO
5504,Herbal Connections By GaramTawa Bistro,Beverages,--,32 MINS,100 FOR TWO
5505,Dilli di Rasoi,"North Indian, Thalis, Home Food, Chinese",--,32 MINS,250 FOR TWO
5506,House of Bread Pizzas,"Pizzas, Fast Food, Snacks",--,29 MINS,200 FOR TWO
5507,Angaar,"North Indian, Chinese, Biryani, Mughlai, Maharashtrian, Punjabi, Tandoor, Seafoo...",4.3,30 MINS,300 FOR TWO
5508,BEDIS NAAN AND PARATHA HOUSE,"North Indian, Thalis, Punjabi",3.8,24 MINS,400 FOR TWO
5509,Manali-Family Resto Bar,"Chinese, South Indian, North Indian, Continental, Fast Food, Mughlai, Seafood",4.1,25 MINS,800 FOR TWO
5510,Cheesecakes By CakeZone,"Bakery, Desserts",4.1,28 MINS,200 FOR TWO
5511,Godavari Ruchulu,"North Indian, Chinese, Beverages, Indian, Biryani",3.9,26 MINS,450 FOR TWO
5512,Original Jalebi Junction,"Desserts, Fast Food, North Indian, Snacks",4.2,29 MINS,300 FOR TWO
5513,Makhni,"North Indian, Tandoor, Chinese",--,32 MINS,250 FOR TWO
5514,Urbo,"North Indian, Chinese",4.2,27 MINS,600 FOR TWO
5515,Smoodies & Juices- Yours Fruitfully,"Beverages, Juices, Healthy Food, Desserts",--,25 MINS,270 FOR TWO
5516,Dakshini Dosa,"South Indian, Fast Food",--,35 MINS,150 FOR TWO
5517,Crazy Cheesy (Baner),"Pizzas, Italian, American",3.9,29 MINS,500 FOR TWO
5518,Sparkling Star Snacks Centre,"Snacks, Beverages",--,38 MINS,100 FOR TWO
5519,Sangitas kitchen,"North Indian, Biryani, Chinese",--,47 MINS,300 FOR TWO
5520,Master Chef,"North Indian, Chinese, Biryani",--,32 MINS,200 FOR TWO
5521,Kerala Restaurant,"North Indian, Biryani, Chinese, Mughlai, Punjabi, Kebabs, Beverages, Tandoor",3.1,35 MINS,300 FOR TWO
5522,Kamat Non Veg,"North Indian, Chinese, Biryani, Thalis",--,37 MINS,200 FOR TWO
5523,Lip lick cafe,"Fast Food, Pizzas, Chinese",3.3,40 MINS,120 FOR TWO
5524,Ashoka Restaurant,Chinese,3.3,46 MINS,200 FOR TWO
5525,FABLES CAFE,"American, Fast Food, Bakery",--,39 MINS,500 FOR TWO
5526,Hotel Atharva Family Restaurant,"Chinese, North Indian",4.4,38 MINS,500 FOR TWO
5527,Hotel Mayur Pure Veg,"North Indian, Maharashtrian, Chinese, Beverages",3.9,29 MINS,500 FOR TWO
5528,CAFE U And ME,"Pizzas, Beverages, Combo",4.0,35 MINS,200 FOR TWO
5529,Carnival Garden Restaurant,"Chinese, North Indian",--,32 MINS,400 FOR TWO
5530,HOTEL YUKTA,"Street Food, Fast Food, Beverages",--,32 MINS,150 FOR TWO
5531,Purnabramha,Indian,4.1,32 MINS,300 FOR TWO
5532,V FOODS CAFE,Snacks,4.0,38 MINS,200 FOR TWO
5533,Cafe Magic Masti,Pizzas,4.4,39 MINS,198 FOR TWO
5534,Shejwan Chinese Corner,Chinese,4.0,26 MINS,350 FOR TWO
5535,Ghar ka Dabba,"Home Food, Thalis, North Indian, Chinese",--,23 MINS,350 FOR TWO
5536,Kailas Misal House,Street Food,--,24 MINS,200 FOR TWO
5537,The Momo Planet,"Chinese, Beverages",--,29 MINS,200 FOR TWO
5538,Ramdev Dhaba Pure Veg,"Jain, Rajasthani, North Indian",3.8,28 MINS,300 FOR TWO
5539,Confection & Connection,"Bakery, Desserts",--,26 MINS,500 FOR TWO
5540,NAADBRAMHA IDLI,South Indian,4.6,19 MINS,100 FOR TWO
5541,Mitran Da junction,North Indian,3.8,28 MINS,400 FOR TWO
5542,Hungry Foodies,"Chinese, Goan, North Indian",--,26 MINS,200 FOR TWO
5543,PUROHIT THALI,"Thalis, Rajasthani, Indian",--,32 MINS,300 FOR TWO
5544,THE ONLY FALAFEL,Fast Food,--,27 MINS,200 FOR TWO
5545,Jamna's Sandwich And Coffee Shop,"Fast Food, Pizzas",--,37 MINS,100 FOR TWO
5546,aman biryani,"Biryani, North Indian",2.8,30 MINS,300 FOR TWO
5547,Shree Swamisneh Dinning Hall,"Indian, Beverages",4.3,29 MINS,500 FOR TWO
5548,Hotel Jai Balaji king of dosa,South Indian,--,27 MINS,250 FOR TWO
5549,Shandaar Shawarma,Arabian,4.3,25 MINS,150 FOR TWO
5550,Red Velvet Chinese Restaurant,"Chinese, Snacks",--,-- MINS,200 FOR TWO
5551,Pragati Chinese Pure Veg,Chinese,--,-- MINS,250 FOR TWO
5552,Hotel Kebab's,"North Indian, Indian, Chinese",--,-- MINS,250 FOR TWO
5553,Pragati Chinese,"Fast Food, Chinese",--,-- MINS,250 FOR TWO
5554,Cafe Dreamdate,"Chinese, Italian-American, Fast Food",--,-- MINS,200 FOR TWO
5555,Hotel Ghadge's,North Indian,--,-- MINS,300 FOR TWO
5556,The Ugk Pizzeria,"Italian, Pizzas",--,-- MINS,200 FOR TWO
5557,Hotel Dawat,Biryani,--,-- MINS,300 FOR TWO
5558,Mister Idaliwala,South Indian,--,-- MINS,100 FOR TWO
5559,Nanumal Bhojraj,"Chinese, North Indian",4.0,27 MINS,300 FOR TWO
5560,Spice Park Biryani,"Biryani, Arabian",--,26 MINS,400 FOR TWO
5561,Kaka Halwai,Street Food,4.4,21 MINS,150 FOR TWO
5562,Hotel Real Taste,"Chinese, Indian, Mughlai",3.9,33 MINS,250 FOR TWO
5563,Krushnasagar Veg Restaurant,"South Indian, Punjabi, Indian, Chinese",4.1,27 MINS,250 FOR TWO
5564,Spice Garden Family Resto & Bar,"North Indian, Chinese, Mughlai",4.5,31 MINS,500 FOR TWO
5565,R K Biryani House,"North Indian, Biryani, Thalis, Kebabs, Maharashtrian, Malwani",4.0,30 MINS,500 FOR TWO
5566,S kumar wadewale & premacha chaha,"Fast Food, Snacks, Beverages",4.2,21 MINS,150 FOR TWO
5567,Flavours Street,"Beverages, Juices",4.1,25 MINS,350 FOR TWO
5568,Pizza Paradise,"Pizzas, Burgers, Pastas, Italian, Street Food",--,33 MINS,200 FOR TWO
5569,Spice Stories,"Maharashtrian, North Indian",4.0,26 MINS,500 FOR TWO
5570,Gokul Chinese,Chinese,3.9,33 MINS,300 FOR TWO
5571,Cafe Durga - Gangadham,"South Indian, Pizzas, Beverages",--,21 MINS,150 FOR TWO
5572,Bibwewadi Junction,"Chinese, Indian, Snacks, Beverages",--,28 MINS,150 FOR TWO
5573,Anna Idli,"South Indian, Andhra",4.4,24 MINS,300 FOR TWO
5574,Cafe Bistro,Continental,--,25 MINS,250 FOR TWO
5575,Kaka Halwai,"Sweets, Snacks, Desserts, Bakery, Bengali, North Indian, Punjabi, Gujarati, Chaa...",4.1,28 MINS,150 FOR TWO
5576,Shawarma Wraps,"Chinese, Indian",--,32 MINS,300 FOR TWO
5577,Natural Ice Cream,"Ice Cream, Desserts",4.7,25 MINS,150 FOR TWO
5578,PUNJABI DHABA,North Indian,--,24 MINS,400 FOR TWO
5579,Garvaa Biryani - Sasane Nagar,"Biryani, Tandoor, Snacks",2.9,26 MINS,200 FOR TWO
5580,Pow Pow,"Chinese, Snacks",--,39 MINS,300 FOR TWO
5581,WS Bakers Cake Shop,"Bakery, Desserts, Sweets",--,26 MINS,300 FOR TWO
5582,Itminaan Matka Biryani - Slow Cooked,"Biryani, North Indian, Mughlai",3.5,36 MINS,400 FOR TWO
5583,Bhatti Chicken Wings,"North Indian, Snacks, Fast Food, Tandoor",--,33 MINS,250 FOR TWO
5584,ZAZA 22 Spice Biryani,"Biryani, North Indian, Awadhi",--,26 MINS,250 FOR TWO
5585,CHINESE DRAGON PALACE,Chinese,--,35 MINS,300 FOR TWO
5586,Burger Brats,"Burgers, Fast Food, Pastas, Snacks, Beverages",--,25 MINS,300 FOR TWO
5587,WarmOven Cake & Desserts,"Bakery, Desserts, Ice Cream, Beverages",4.4,29 MINS,200 FOR TWO
5588,Subway,"Healthy Food, Salads, Snacks, Desserts, Beverages",3.7,43 MINS,350 FOR TWO
5589,The Baker's Dozen,"Bakery, Desserts, Juices, Beverages, Snacks",4.1,21 MINS,300 FOR TWO
5590,Burger Kingkong,Indian,--,32 MINS,150 FOR TWO
5591,Venkatesh Bhojanalaya,"North Indian, Thalis",3.5,34 MINS,200 FOR TWO
5592,PK Biryani House (Deccan),"Biryani, Maharashtrian, North Indian, Mughlai, Hyderabadi, Indian",4.0,37 MINS,400 FOR TWO
